system,dataset,workload,query,edges,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows
full_mwj_no_filter,banking_1M,banking,banking_2hop,5000000,1,595046.06,595046.06,595046.06,0.0,23264179
full_mwj_no_filter,hi_small,aml,aml_2hop,5078345,0,,,,,OOM
full_mwj_no_filter,snb_sf30,snb,snb_2hop,12035314,0,,,,,OOM
full_mwj_no_filter,patents,snap,snap_2hop,16518948,1,2206709.944,2206709.944,2206709.944,0.0,82152992
full_mwj_no_filter,hi_medium,aml,aml_2hop,31898238,0,,,,,OOM
full_mwj_no_filter,hi_large,aml,aml_2hop,179702229,0,,,,,OOM
nebuladb,banking_1M,banking,banking_2hop,5000000,1,43973.769,43973.769,43973.769,0.0,2635
nebuladb,hi_small,aml,aml_2hop,5078345,1,45025.867,45025.867,45025.867,0.0,7983
nebuladb,snb_sf30,snb,snb_2hop,12035314,1,109313.62599999999,109313.62599999999,109313.62599999999,0.0,106
nebuladb,patents,snap,snap_2hop,16518948,1,151433.12099999998,151433.12099999998,151433.12099999998,0.0,6142
nebuladb,hi_medium,aml,aml_2hop,31898238,1,309535.866,309535.866,309535.866,0.0,8448
nebuladb,hi_large,aml,aml_2hop,179702229,1,1448428.82,1448428.82,1448428.82,0.0,245424
obliviator_chained,banking_1M,banking,banking_2hop,5000000,1,48977.553,48977.553,48977.553,0.0,23264179
obliviator_chained,hi_small,aml,aml_2hop,5078345,1,1255116.035,1255116.035,1255116.035,0.0,355144984
obliviator_chained,snb_sf30,snb,snb_2hop,12035314,0,,,,,TIMEOUT
obliviator_chained,patents,snap,snap_2hop,16518948,1,283774.638,283774.638,283774.638,0.0,82152992
obliviator_chained,hi_medium,aml,aml_2hop,31898238,0,,,,,TIMEOUT
obliviator_chained,hi_large,aml,aml_2hop,179702229,0,,,,,TIMEOUT
