system,dataset,hub_fraction,query,accounts,edges,unfiltered_2hop_rows,filtered_2hop_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,uniform,0.0,banking_2hop,200000,1000000,3895691,5,1,0,7514.704000000001,120.081,7394.6230000000005,5,1
obliviator_chained,uniform,0.0,banking_2hop,200000,1000000,3895691,5,1,0,6441.137000000001,,,3895691,1
full_mwj_no_filter,uniform,0.0,banking_2hop,200000,1000000,3895691,5,1,0,94020.072,,94020.072,3895691,1
nebuladb,low,0.1,banking_2hop,200000,1000000,9214537,346,1,0,7535.131,118.942,7416.189,346,1
obliviator_chained,low,0.1,banking_2hop,200000,1000000,9214537,346,1,0,14553.11,,,9214537,1
full_mwj_no_filter,low,0.1,banking_2hop,200000,1000000,9214537,346,1,0,207579.334,,207579.334,9214537,1
nebuladb,medium,0.2,banking_2hop,200000,1000000,24435486,945,1,0,7485.6630000000005,117.035,7368.628000000001,945,1
obliviator_chained,medium,0.2,banking_2hop,200000,1000000,24435486,945,1,0,40654.192,,,24435486,1
full_mwj_no_filter,medium,0.2,banking_2hop,200000,1000000,24435486,945,1,0,537445.1460000001,,537445.1460000001,24435486,1
nebuladb,high,0.35,banking_2hop,200000,1000000,70222811,1830,1,0,7511.664,119.722,7391.942,1830,1
obliviator_chained,high,0.35,banking_2hop,200000,1000000,70222811,1830,1,0,238780.397,,,70222811,1
full_mwj_no_filter,high,0.35,banking_2hop,200000,1000000,70222811,1830,1,0,1602470.87,,1602470.87,70222811,1
