system,dataset,hub_fraction,query,accounts,edges,unfiltered_2hop_rows,filtered_2hop_rows,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows,rows_match
full_mwj_no_filter,high,0.35,banking_2hop,200000,1000000,70222811,1830,1,1602470.87,1602470.87,1602470.87,0.0,70222811,1
full_mwj_no_filter,low,0.1,banking_2hop,200000,1000000,9214537,346,1,207579.334,207579.334,207579.334,0.0,9214537,1
full_mwj_no_filter,medium,0.2,banking_2hop,200000,1000000,24435486,945,1,537445.1460000001,537445.1460000001,537445.1460000001,0.0,24435486,1
full_mwj_no_filter,uniform,0.0,banking_2hop,200000,1000000,3895691,5,1,94020.072,94020.072,94020.072,0.0,3895691,1
nebuladb,high,0.35,banking_2hop,200000,1000000,70222811,1830,1,7511.664,7511.664,7511.664,0.0,1830,1
nebuladb,low,0.1,banking_2hop,200000,1000000,9214537,346,1,7535.131,7535.131,7535.131,0.0,346,1
nebuladb,medium,0.2,banking_2hop,200000,1000000,24435486,945,1,7485.6630000000005,7485.6630000000005,7485.6630000000005,0.0,945,1
nebuladb,uniform,0.0,banking_2hop,200000,1000000,3895691,5,1,7514.704000000001,7514.704000000001,7514.704000000001,0.0,5,1
obliviator_chained,high,0.35,banking_2hop,200000,1000000,70222811,1830,1,238780.397,238780.397,238780.397,0.0,70222811,1
obliviator_chained,low,0.1,banking_2hop,200000,1000000,9214537,346,1,14553.11,14553.11,14553.11,0.0,9214537,1
obliviator_chained,medium,0.2,banking_2hop,200000,1000000,24435486,945,1,40654.192,40654.192,40654.192,0.0,24435486,1
obliviator_chained,uniform,0.0,banking_2hop,200000,1000000,3895691,5,1,6441.137000000001,6441.137000000001,6441.137000000001,0.0,3895691,1
