system,dataset,hub_fraction,query,accounts,edges,unfiltered_2hop_rows,filtered_2hop_rows,run_id,is_warmup,total_ms,onehop_ms,mwj_ms,output_rows,rows_match
nebuladb,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,0,42783.65700000001,386.735,42396.922000000006,8,1
obliviator_chained,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,0,54772.558,,,26113069,1
full_mwj_no_filter,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,0,629495.0989999999,,629495.0989999999,26113069,1
nebuladb,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,0,42747.541,395.482,42352.058999999994,407,1
obliviator_chained,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,0,142299.714,,,49466164,1
full_mwj_no_filter,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,0,1184116.869,,1184116.869,49466164,1
nebuladb,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,0,42914.972,381.269,42533.703,902,1
obliviator_chained,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,0,334968.722,,,123599405,1
full_mwj_no_filter,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,0,,,,OOM,
nebuladb,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,0,43108.883,383.477,42725.406,1823,1
obliviator_chained,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,0,1193711.041,,,362117655,1
full_mwj_no_filter,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,0,,,,OOM,
