system,dataset,hub_fraction,query,accounts,edges,unfiltered_2hop_rows,filtered_2hop_rows,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows,rows_match
full_mwj_no_filter,high,0.35,banking_2hop,1000000,5000000,362117655,1823,0,,,,,OOM,
full_mwj_no_filter,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,1184116.869,1184116.869,1184116.869,0.0,49466164,1
full_mwj_no_filter,medium,0.2,banking_2hop,1000000,5000000,123599405,902,0,,,,,OOM,
full_mwj_no_filter,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,629495.0989999999,629495.0989999999,629495.0989999999,0.0,26113069,1
nebuladb,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,43108.883,43108.883,43108.883,0.0,1823,1
nebuladb,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,42747.541,42747.541,42747.541,0.0,407,1
nebuladb,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,42914.972,42914.972,42914.972,0.0,902,1
nebuladb,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,42783.65700000001,42783.65700000001,42783.65700000001,0.0,8,1
obliviator_chained,high,0.35,banking_2hop,1000000,5000000,362117655,1823,1,1193711.041,1193711.041,1193711.041,0.0,362117655,1
obliviator_chained,low,0.1,banking_2hop,1000000,5000000,49466164,407,1,142299.714,142299.714,142299.714,0.0,49466164,1
obliviator_chained,medium,0.2,banking_2hop,1000000,5000000,123599405,902,1,334968.722,334968.722,334968.722,0.0,123599405,1
obliviator_chained,uniform,0.0,banking_2hop,1000000,5000000,26113069,8,1,54772.558,54772.558,54772.558,0.0,26113069,1
