system,s_target,s_achieved,theta,query,passing_edges,expected_rows,n_runs,median_ms,min_ms,max_ms,stddev_ms,output_rows,rows_match
full_mwj,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,1,85332.984,85332.984,85332.984,0.0,2404,1
full_mwj,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,1,85739.91200000001,85739.91200000001,85739.91200000001,0.0,82596,1
full_mwj,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,1,97884.401,97884.401,97884.401,0.0,753013,1
full_mwj,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,1,136100.587,136100.587,136100.587,0.0,2478413,1
full_mwj,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,1,334909.952,334909.952,334909.952,0.0,12272345,1
full_mwj,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,1,944587.455,944587.455,944587.455,0.0,39282354,1
full_mwj,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,1,1173554.848,1173554.848,1173554.848,0.0,49322515,1
full_mwj,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,1,1514681.833,1514681.833,1514681.833,0.0,63353620,1
full_mwj,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,1,2274515.592,2274515.592,2274515.592,0.0,95761288,1
full_mwj,0.7,0.6996826722091547,280,aml_2hop_sel_0p700.sql,3553230,134317360,0,,,,,OOM,
nebuladb,0.001,0.0009997351499356581,416225565,aml_2hop_sel_0p001.sql,5077,2404,1,43838.507,43838.507,43838.507,0.0,2404,1
nebuladb,0.01,0.010000108303000289,13524530,aml_2hop_sel_0p010.sql,50784,82596,1,43904.848999999995,43904.848999999995,43904.848999999995,0.0,82596,1
nebuladb,0.05,0.049998769284087634,623757,aml_2hop_sel_0p050.sql,253911,753013,1,48458.513999999996,48458.513999999996,48458.513999999996,0.0,753013,1
nebuladb,0.1,0.10000009845727299,137275,aml_2hop_sel_0p100.sql,507835,2478413,1,61466.38,61466.38,61466.38,0.0,2478413,1
nebuladb,0.25,0.24999384642043815,12298,aml_2hop_sel_0p250.sql,1269555,12272345,1,130676.017,130676.017,130676.017,0.0,12272345,1
nebuladb,0.5,0.4999118807406744,1415,aml_2hop_sel_0p500.sql,2538725,39282354,1,332680.079,332680.079,332680.079,0.0,39282354,1
nebuladb,0.55,0.549900607382917,961,aml_2hop_sel_0p550.sql,2792585,49322515,1,414241.74600000004,414241.74600000004,414241.74600000004,0.0,49322515,1
nebuladb,0.6,0.5998672795960102,639,aml_2hop_sel_0p600.sql,3046333,63353620,1,537334.383,537334.383,537334.383,0.0,63353620,1
nebuladb,0.65,0.6497744836162175,424,aml_2hop_sel_0p650.sql,3299779,95761288,1,796603.4720000001,796603.4720000001,796603.4720000001,0.0,95761288,1
nebuladb,0.7,0.6996826722091547,280,aml_2hop_sel_0p700.sql,3553230,134317360,1,1140304.5299999998,1140304.5299999998,1140304.5299999998,0.0,134317360,1
nebuladb,0.75,0.7499730719358374,184,aml_2hop_sel_0p750.sql,3808622,182661965,1,1458951.3090000001,1458951.3090000001,1458951.3090000001,0.0,182661965,1
nebuladb,0.8,0.7996045955916741,118,aml_2hop_sel_0p800.sql,4060668,233108598,0,,,,,OOM,
nebuladb,1.0,1.0,,aml_2hop_sel_1p000.sql,5078345,355144984,0,,,,,OOM,
