dataset,num_edges,n_queries,build_once_ms,per_query_ms,total_ms,amortized_per_query_ms
aml_hi_small,5078345,1,463.923,955.168,1419.091,1419.091
aml_hi_small,5078345,2,463.923,955.168,2374.259,1187.130
aml_hi_small,5078345,3,463.923,955.168,3329.427,1109.809
aml_hi_small,5078345,5,463.923,955.168,5239.763,1047.953
aml_hi_small,5078345,10,463.923,955.168,10015.603,1001.560
aml_hi_small,5078345,20,463.923,955.168,19567.283,978.364
aml_hi_small,5078345,50,463.923,955.168,48222.323,964.446
aml_hi_small,5078345,100,463.923,955.168,95980.723,959.807
aml_hi_small,5078345,200,463.923,955.168,191497.523,957.488
aml_hi_small,5078345,500,463.923,955.168,478047.923,956.096
aml_hi_small,5078345,1000,463.923,955.168,955631.923,955.632
aml_hi_medium,31898238,1,2177.500,6973.830,9151.330,9151.330
aml_hi_medium,31898238,2,2177.500,6973.830,16125.160,8062.580
aml_hi_medium,31898238,3,2177.500,6973.830,23098.990,7699.663
aml_hi_medium,31898238,5,2177.500,6973.830,37046.650,7409.330
aml_hi_medium,31898238,10,2177.500,6973.830,71915.800,7191.580
aml_hi_medium,31898238,20,2177.500,6973.830,141654.100,7082.705
aml_hi_medium,31898238,50,2177.500,6973.830,350869.000,7017.380
aml_hi_medium,31898238,100,2177.500,6973.830,699560.500,6995.605
aml_hi_medium,31898238,200,2177.500,6973.830,1396943.500,6984.717
aml_hi_medium,31898238,500,2177.500,6973.830,3489092.500,6978.185
aml_hi_medium,31898238,1000,2177.500,6973.830,6976007.500,6976.007
banking_1M,5000000,1,901.814,1103.440,2005.254,2005.254
banking_1M,5000000,2,901.814,1103.440,3108.694,1554.347
banking_1M,5000000,3,901.814,1103.440,4212.134,1404.045
banking_1M,5000000,5,901.814,1103.440,6419.014,1283.803
banking_1M,5000000,10,901.814,1103.440,11936.214,1193.621
banking_1M,5000000,20,901.814,1103.440,22970.614,1148.531
banking_1M,5000000,50,901.814,1103.440,56073.814,1121.476
banking_1M,5000000,100,901.814,1103.440,111245.814,1112.458
banking_1M,5000000,200,901.814,1103.440,221589.814,1107.949
banking_1M,5000000,500,901.814,1103.440,552621.814,1105.244
banking_1M,5000000,1000,901.814,1103.440,1104341.814,1104.342
